Leicesteria
Len
Len biały
Len narboński
Len trwały
Len złocisty
Lepnica bezłodygowa
Lepnica nadmorska
Leszczyna długookrywowa
Leszczyna pospolita
Leszczyna turecka
Leszczynowiec
Leszczynowiec skąpokwiatowy
Lewizja
Lewizja liścieniowa
Liatria kłosowa
Ligustr pospolity
Ligustr tępolistny
Lilak drobnolistny
Lilak japoński
Lilak Meyera
Lilak ottawski
Lilak pospolity
Lilia biała
Lilia bulwkowata
Lilia Conca d'Or
Lilia królewska
Lilia orientalna
Lilia tygrysia
Lilia złotogłów
Liliowiec
Liliowiec rdzawy
Liliowiec żółty
Llia Dawida
Lnica alpejska
Lnica pospolita
Lnica purpurowa
Lobelia lśniąca
Lobelia wielka
Łączeń baldaszkowy
Łubin
Łubin trwały
Łyszczec (gipsówka) rozesłany
Łyszczec (gipsówka) wiechowaty
Łyszczec delikatny
Łyszczec nadobny
Macierzanka cytrynowa
Macierzanka Doerflera
Macierzanka piaskowa
Macierzanka wełnista
Magnolia
Magnolia drzewiasta
Magnolia górska
Magnolia gwiaździsta
Magnolia japońska
Magnolia loebnera
Magnolia naga
Magnolia parasolowata
Magnolia pośrednia
Magnolia purpurowa
Magnolia szerokolistna
Magnolia wielkokwiatowa
Mahonia japońska
Mahonia pospolita
Mahonia pośrednia
Majówka
Mak
Malina pachnąca
Malwa figolistna
Malwa różowa
Mamutowiec olbrzymi
Marchewnik anyżowy
Marzanka barwierska
Marzanka pagórkowa
Mazus rozłogowy
Mącznica lekarska
Medinila wspaniała
Mekonops
Mekonops bukwicolistny
Mekonops walijski
Mertensja
Metasekwoja chińska
Miechunka rozdęta
Mieczyk
Mieczyk błotny
Miesiącznica
Miesiącznica roczna
Miesiącznica trwała
Mięta długolistna
Mięta kłosowa
Mięta nadwodna
Mięta okrągłolistna
Mięta pieprzowa
Migdałowiec karłowy
Migdałowiec trójklapowy
Mikołajek agawolistny
Mikołajek alpejski
Mikołajek iberyjski
Mikołajek nadmorski
Mikołajek olbrzymi
Mikołajek płaskolistny
Mikołajek polny
Mikrobiota syberyjska
Milin amerykański
Miłek amurski
Miłek wiosenny
Miłorząb dwuklapowy
Miodunka
Miodunka czerwona
Miodunka długolistna
Miodunka miękkowłosa
Miodunka plamista
Miodunka pstra
Miodunka wąskolistna
Miskant chiński
Miskant cukrowy
Miskant olbrzymi
Modrak nadmorski
Modrzew europejski
Modrzew japoński
Modrzewnica zwyczajna
Modrzewnik chiński
Mokrzyca
Mokrzyca Kitaibela
Morela
Morwa czarna
Mukdenia
Mydleniec wiechowaty
Mydlnica lekarska
Nachyłek
Nachyłek lancetowaty
Nachyłek okółkowy
Nachyłek wielkokwiatowy
Nagietek lekarski
Naparstnica
Naparstnica pupurowa
Naparstnica rdzawa
Naparstnica wełnista
Naparstnica żółta
Naradka
Naradka drobnolistna
Naradka krwista
Naradka rojnikowata
Narcyz
Narcyz cyklamenowaty
Narcyz trzypręcikowy
Narcyz żonkil
Narecznica szerokolistna
Nawłoć
Nawłoć kanadyjska
Nawłoć pospolita
Nawrot
Nektaryna
Nerecznica
Nerecznica krótkoostna
Nerecznica samcza
Nerina Bowdena
Niedźwiedzie ucho Arktotis
Niezapominajka
Niezapominajka alpejska
Niezapominajka leśna
Obiela
Obiela piłkowana
Obiela wielkokwiatowa
Obrazki ciemne
Obrazki plamiste
Obrazki włoskie
Obuwik
Obuwik pospolity
Oczar chiński
Oczar japoński
Oczar pośredni
Oczar wiosenny
Oczar wirginijski
Odetka wirginijska
Ognik szkarłatny
Ogórecznik lekarski
Oliwnik Ebbinge'a
Oliwnik srebrzysty
Oliwnik wąskolistny
Olsza czarna
Ołownik
Ołownik uszkowaty
Oman
Oman wąskolistny
Oman wspaniały
Omieg kaukaski
Omieg wschodni
Onoklea wrażliwa
Opuncja
Orlik
Orlik alpejski
Orlik błękitny
Orlik ciemny
Orlik mieszańcowy
Orlik pospolity
Orlik wachlarzowaty
Oroncium wodne
Orszelina
Ostnica olbrzymia
Ostrogowiec czerwony
Ostrokrzew drobnolistny
Ostrokrzew Meservy
Ostrokrzew Zwyczajny
Ostrożeń krótkołodygowy
Ostróżka
Ostróżka wielkokwiatowa
Ostróżka wyniosła
Ostrzeń pospolity
Ostrzeszyn
Ośnieża czteroskrzydła
Ożanka
Pajęcznica gałęzista
Pajęcznica liliowata
Pałecznik chiński
Pałka
Pałka wysmukła
Pantofelnik dwukwiatowy
Paprotka
Paprotnica bulwkowa
